userId,rank,movieId,title,score
1,1,318,"Shawshank Redemption, The (1994)",313
1,2,589,Terminator 2: Judgment Day (1991),221
1,3,150,Apollo 13 (1995),200
1,4,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
1,5,858,"Godfather, The (1972)",188
1,6,5952,"Lord of the Rings: The Two Towers, The (2002)",187
1,7,7153,"Lord of the Rings: The Return of the King, The (2003)",185
1,8,588,Aladdin (1992),181
1,9,2762,"Sixth Sense, The (1999)",178
1,10,380,True Lies (1994),176
2,1,356,Forrest Gump (1994),325
2,2,296,Pulp Fiction (1994),304
2,3,2571,"Matrix, The (1999)",277
2,4,593,"Silence of the Lambs, The (1991)",276
2,5,260,Star Wars: Episode IV - A New Hope (1977),250
2,6,480,Jurassic Park (1993),236
2,7,110,Braveheart (1995),234
2,8,589,Terminator 2: Judgment Day (1991),221
2,9,2959,Fight Club (1999),218
2,10,1,Toy Story (1995),215
3,1,356,Forrest Gump (1994),325
3,2,318,"Shawshank Redemption, The (1994)",313
3,3,296,Pulp Fiction (1994),304
3,4,2571,"Matrix, The (1999)",277
3,5,593,"Silence of the Lambs, The (1991)",276
3,6,260,Star Wars: Episode IV - A New Hope (1977),250
3,7,480,Jurassic Park (1993),236
3,8,110,Braveheart (1995),234
3,9,589,Terminator 2: Judgment Day (1991),221
3,10,2959,Fight Club (1999),218
4,1,356,Forrest Gump (1994),325
4,2,318,"Shawshank Redemption, The (1994)",313
4,3,480,Jurassic Park (1993),236
4,4,110,Braveheart (1995),234
4,5,589,Terminator 2: Judgment Day (1991),221
4,6,1,Toy Story (1995),215
4,7,527,Schindler's List (1993),214
4,8,150,Apollo 13 (1995),200
4,9,50,"Usual Suspects, The (1995)",198
4,10,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
5,1,356,Forrest Gump (1994),325
5,2,2571,"Matrix, The (1999)",277
5,3,593,"Silence of the Lambs, The (1991)",276
5,4,260,Star Wars: Episode IV - A New Hope (1977),250
5,5,480,Jurassic Park (1993),236
5,6,2959,Fight Club (1999),218
5,7,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
5,8,2858,American Beauty (1999),202
5,9,47,Seven (a.k.a. Se7en) (1995),197
5,10,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
6,1,2571,"Matrix, The (1999)",277
6,2,260,Star Wars: Episode IV - A New Hope (1977),250
6,3,2959,Fight Club (1999),218
6,4,1,Toy Story (1995),215
6,5,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
6,6,2858,American Beauty (1999),202
6,7,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
6,8,780,Independence Day (a.k.a. ID4) (1996),196
6,9,1210,Star Wars: Episode VI - Return of the Jedi (1983),196
6,10,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),194
7,1,318,"Shawshank Redemption, The (1994)",313
7,2,296,Pulp Fiction (1994),304
7,3,2571,"Matrix, The (1999)",277
7,4,110,Braveheart (1995),234
7,5,2959,Fight Club (1999),218
7,6,527,Schindler's List (1993),214
7,7,47,Seven (a.k.a. Se7en) (1995),197
7,8,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),194
7,9,457,"Fugitive, The (1993)",189
7,10,858,"Godfather, The (1972)",188
8,1,2571,"Matrix, The (1999)",277
8,2,260,Star Wars: Episode IV - A New Hope (1977),250
8,3,589,Terminator 2: Judgment Day (1991),221
8,4,2959,Fight Club (1999),218
8,5,1,Toy Story (1995),215
8,6,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
8,7,2858,American Beauty (1999),202
8,8,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
8,9,780,Independence Day (a.k.a. ID4) (1996),196
8,10,1210,Star Wars: Episode VI - Return of the Jedi (1983),196
9,1,356,Forrest Gump (1994),325
9,2,318,"Shawshank Redemption, The (1994)",313
9,3,296,Pulp Fiction (1994),304
9,4,2571,"Matrix, The (1999)",277
9,5,593,"Silence of the Lambs, The (1991)",276
9,6,260,Star Wars: Episode IV - A New Hope (1977),250
9,7,480,Jurassic Park (1993),236
9,8,110,Braveheart (1995),234
9,9,589,Terminator 2: Judgment Day (1991),221
9,10,2959,Fight Club (1999),218
10,1,318,"Shawshank Redemption, The (1994)",313
10,2,593,"Silence of the Lambs, The (1991)",276
10,3,260,Star Wars: Episode IV - A New Hope (1977),250
10,4,480,Jurassic Park (1993),236
10,5,110,Braveheart (1995),234
10,6,589,Terminator 2: Judgment Day (1991),221
10,7,1,Toy Story (1995),215
10,8,527,Schindler's List (1993),214
10,9,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
10,10,150,Apollo 13 (1995),200
11,1,296,Pulp Fiction (1994),304
11,2,2571,"Matrix, The (1999)",277
11,3,260,Star Wars: Episode IV - A New Hope (1977),250
11,4,2959,Fight Club (1999),218
11,5,1,Toy Story (1995),215
11,6,527,Schindler's List (1993),214
11,7,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
11,8,2858,American Beauty (1999),202
11,9,50,"Usual Suspects, The (1995)",198
11,10,47,Seven (a.k.a. Se7en) (1995),197
12,1,356,Forrest Gump (1994),325
12,2,318,"Shawshank Redemption, The (1994)",313
12,3,296,Pulp Fiction (1994),304
12,4,2571,"Matrix, The (1999)",277
12,5,593,"Silence of the Lambs, The (1991)",276
12,6,260,Star Wars: Episode IV - A New Hope (1977),250
12,7,480,Jurassic Park (1993),236
12,8,110,Braveheart (1995),234
12,9,589,Terminator 2: Judgment Day (1991),221
12,10,2959,Fight Club (1999),218
13,1,356,Forrest Gump (1994),325
13,2,318,"Shawshank Redemption, The (1994)",313
13,3,296,Pulp Fiction (1994),304
13,4,593,"Silence of the Lambs, The (1991)",276
13,5,260,Star Wars: Episode IV - A New Hope (1977),250
13,6,480,Jurassic Park (1993),236
13,7,110,Braveheart (1995),234
13,8,589,Terminator 2: Judgment Day (1991),221
13,9,2959,Fight Club (1999),218
13,10,1,Toy Story (1995),215
14,1,2571,"Matrix, The (1999)",277
14,2,260,Star Wars: Episode IV - A New Hope (1977),250
14,3,589,Terminator 2: Judgment Day (1991),221
14,4,2959,Fight Club (1999),218
14,5,1,Toy Story (1995),215
14,6,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
14,7,2858,American Beauty (1999),202
14,8,50,"Usual Suspects, The (1995)",198
14,9,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
14,10,780,Independence Day (a.k.a. ID4) (1996),196
15,1,593,"Silence of the Lambs, The (1991)",276
15,2,480,Jurassic Park (1993),236
15,3,110,Braveheart (1995),234
15,4,150,Apollo 13 (1995),200
15,5,50,"Usual Suspects, The (1995)",198
15,6,457,"Fugitive, The (1993)",189
15,7,592,Batman (1989),188
15,8,7153,"Lord of the Rings: The Return of the King, The (2003)",185
15,9,608,Fargo (1996),180
15,10,380,True Lies (1994),176
16,1,480,Jurassic Park (1993),236
16,2,110,Braveheart (1995),234
16,3,589,Terminator 2: Judgment Day (1991),221
16,4,1,Toy Story (1995),215
16,5,150,Apollo 13 (1995),200
16,6,780,Independence Day (a.k.a. ID4) (1996),196
16,7,1210,Star Wars: Episode VI - Return of the Jedi (1983),196
16,8,457,"Fugitive, The (1993)",189
16,9,592,Batman (1989),188
16,10,2028,Saving Private Ryan (1998),186
17,1,457,"Fugitive, The (1993)",189
17,2,588,Aladdin (1992),181
17,3,608,Fargo (1996),180
17,4,380,True Lies (1994),176
17,5,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),173
17,6,364,"Lion King, The (1994)",172
17,7,377,Speed (1994),168
17,8,4306,Shrek (2001),168
17,9,3578,Gladiator (2000),166
17,10,1580,Men in Black (a.k.a. MIB) (1997),162
18,1,2858,American Beauty (1999),202
18,2,150,Apollo 13 (1995),200
18,3,592,Batman (1989),188
18,4,1197,"Princess Bride, The (1987)",141
18,5,316,Stargate (1994),140
18,6,1265,Groundhog Day (1993),140
18,7,153,Batman Forever (1995),137
18,8,2628,Star Wars: Episode I - The Phantom Menace (1999),137
18,9,597,Pretty Woman (1990),133
18,10,10,GoldenEye (1995),132
19,1,318,"Shawshank Redemption, The (1994)",313
19,2,296,Pulp Fiction (1994),304
19,3,593,"Silence of the Lambs, The (1991)",276
19,4,110,Braveheart (1995),234
19,5,527,Schindler's List (1993),214
19,6,150,Apollo 13 (1995),200
19,7,50,"Usual Suspects, The (1995)",198
19,8,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",197
19,9,780,Independence Day (a.k.a. ID4) (1996),196
19,10,858,"Godfather, The (1972)",188
20,1,356,Forrest Gump (1994),325
20,2,318,"Shawshank Redemption, The (1994)",313
20,3,296,Pulp Fiction (1994),304
20,4,2571,"Matrix, The (1999)",277
20,5,593,"Silence of the Lambs, The (1991)",276
20,6,260,Star Wars: Episode IV - A New Hope (1977),250
20,7,480,Jurassic Park (1993),236
20,8,110,Braveheart (1995),234
20,9,589,Terminator 2: Judgment Day (1991),221
20,10,2959,Fight Club (1999),218
21,1,318,"Shawshank Redemption, The (1994)",313
21,2,593,"Silence of the Lambs, The (1991)",276
21,3,110,Braveheart (1995),234
21,4,527,Schindler's List (1993),214
21,5,150,Apollo 13 (1995),200
21,6,50,"Usual Suspects, The (1995)",198
21,7,47,Seven (a.k.a. Se7en) (1995),197
21,8,457,"Fugitive, The (1993)",189
21,9,2028,Saving Private Ryan (1998),186
21,10,608,Fargo (1996),180
22,1,296,Pulp Fiction (1994),304
22,2,2571,"Matrix, The (1999)",277
22,3,593,"Silence of the Lambs, The (1991)",276
22,4,260,Star Wars: Episode IV - A New Hope (1977),250
22,5,480,Jurassic Park (1993),236
22,6,110,Braveheart (1995),234
22,7,589,Terminator 2: Judgment Day (1991),221
22,8,1,Toy Story (1995),215
22,9,527,Schindler's List (1993),214
22,10,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
23,1,356,Forrest Gump (1994),325
23,2,318,"Shawshank Redemption, The (1994)",313
23,3,2571,"Matrix, The (1999)",277
23,4,593,"Silence of the Lambs, The (1991)",276
23,5,260,Star Wars: Episode IV - A New Hope (1977),250
23,6,480,Jurassic Park (1993),236
23,7,110,Braveheart (1995),234
23,8,589,Terminator 2: Judgment Day (1991),221
23,9,2959,Fight Club (1999),218
23,10,1,Toy Story (1995),215
24,1,260,Star Wars: Episode IV - A New Hope (1977),250
24,2,480,Jurassic Park (1993),236
24,3,110,Braveheart (1995),234
24,4,589,Terminator 2: Judgment Day (1991),221
24,5,2959,Fight Club (1999),218
24,6,1,Toy Story (1995),215
24,7,527,Schindler's List (1993),214
24,8,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
24,9,2858,American Beauty (1999),202
24,10,150,Apollo 13 (1995),200
25,1,356,Forrest Gump (1994),325
25,2,318,"Shawshank Redemption, The (1994)",313
25,3,296,Pulp Fiction (1994),304
25,4,593,"Silence of the Lambs, The (1991)",276
25,5,480,Jurassic Park (1993),236
25,6,110,Braveheart (1995),234
25,7,589,Terminator 2: Judgment Day (1991),221
25,8,2959,Fight Club (1999),218
25,9,1,Toy Story (1995),215
25,10,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
26,1,356,Forrest Gump (1994),325
26,2,318,"Shawshank Redemption, The (1994)",313
26,3,2571,"Matrix, The (1999)",277
26,4,260,Star Wars: Episode IV - A New Hope (1977),250
26,5,480,Jurassic Park (1993),236
26,6,110,Braveheart (1995),234
26,7,589,Terminator 2: Judgment Day (1991),221
26,8,2959,Fight Club (1999),218
26,9,1,Toy Story (1995),215
26,10,527,Schindler's List (1993),214
27,1,318,"Shawshank Redemption, The (1994)",313
27,2,296,Pulp Fiction (1994),304
27,3,2571,"Matrix, The (1999)",277
27,4,593,"Silence of the Lambs, The (1991)",276
27,5,110,Braveheart (1995),234
27,6,589,Terminator 2: Judgment Day (1991),221
27,7,2959,Fight Club (1999),218
27,8,527,Schindler's List (1993),214
27,9,2858,American Beauty (1999),202
27,10,150,Apollo 13 (1995),200
28,1,1,Toy Story (1995),215
28,2,150,Apollo 13 (1995),200
28,3,588,Aladdin (1992),181
28,4,380,True Lies (1994),176
28,5,364,"Lion King, The (1994)",172
28,6,1270,Back to the Future (1985),169
28,7,4306,Shrek (2001),168
28,8,344,Ace Ventura: Pet Detective (1994),161
28,9,648,Mission: Impossible (1996),159
28,10,367,"Mask, The (1994)",155
29,1,2571,"Matrix, The (1999)",277
29,2,593,"Silence of the Lambs, The (1991)",276
29,3,260,Star Wars: Episode IV - A New Hope (1977),250
29,4,480,Jurassic Park (1993),236
29,5,110,Braveheart (1995),234
29,6,589,Terminator 2: Judgment Day (1991),221
29,7,2959,Fight Club (1999),218
29,8,1,Toy Story (1995),215
29,9,527,Schindler's List (1993),214
29,10,1196,Star Wars: Episode V - The Empire Strikes Back (1980),210
30,1,356,Forrest Gump (1994),325
30,2,296,Pulp Fiction (1994),304
30,3,593,"Silence of the Lambs, The (1991)",276
30,4,480,Jurassic Park (1993),236
30,5,110,Braveheart (1995),234
30,6,2959,Fight Club (1999),218
30,7,1,Toy Story (1995),215
30,8,527,Schindler's List (1993),214
30,9,2858,American Beauty (1999),202
30,10,150,Apollo 13 (1995),200
31,1,356,Forrest Gump (1994),325
31,2,318,"Shawshank Redemption, The (1994)",313
31,3,296,Pulp Fiction (1994),304
31,4,2571,"Matrix, The (1999)",277
31,5,593,"Silence of the Lambs, The (1991)",276
31,6,260,Star Wars: Episode IV - A New Hope (1977),250
