userId,rank,movieId,title,score
1,1,1180,Hear My Song (1991),0.0
1,2,86293,Arthur (2011),0.0
1,3,1228,Raging Bull (1980),0.0
1,4,52245,Blades of Glory (2007),0.0
1,5,6476,Shattered (1991),0.0
1,6,6348,Breakin' 2: Electric Boogaloo (1984),0.0
1,7,62374,Body of Lies (2008),0.0
1,8,1285,Heathers (1989),0.0
1,9,2789,Damien: Omen II (1978),0.0
1,10,109968,Why Don't You Play In Hell? (Jigoku de naze warui) (2013),0.0
2,1,86864,Mothra (Mosura) (1961),0.0
2,2,5499,Robin and Marian (1976),0.0
2,3,4947,"Gauntlet, The (1977)",0.0
2,4,47122,John Tucker Must Die (2006),0.0
2,5,97742,Alex Cross (2012),0.0
2,6,2373,Red Sonja (1985),0.0
2,7,6407,"Walk, Don't Run (1966)",0.0
2,8,7264,An Amazing Couple (2002),0.0
2,9,8795,Musa the Warrior (Musa) (2001),0.0
2,10,140725,Cop Car (2015),0.0
3,1,61248,Death Race (2008),0.0
3,2,79572,Ramona and Beezus (2010),0.0
3,3,3629,"Gold Rush, The (1925)",0.0
3,4,6371,Pokémon Heroes (2003),0.0
3,5,4723,"Deep End, The (2001)",0.0
3,6,2165,Your Friends and Neighbors (1998),0.0
3,7,44241,Leprechaun 3 (1995),0.0
3,8,123553,In the Name of the King III (2014),0.0
3,9,167854,"Dana Carvey: Straight White Male, 60 (2016)",0.0
3,10,870,Gone Fishin' (1997),0.0
4,1,166291,A Silent Voice (2016),0.0
4,2,5932,Burden of Dreams (1982),0.0
4,3,76251,Kick-Ass (2010),0.0
4,4,4480,"Blob, The (1988)",0.0
4,5,58826,"Shepherd: Border Patrol, The (2008)",0.0
4,6,75803,Our Family Wedding (2010),0.0
4,7,5110,Super Troopers (2001),0.0
4,8,132422,Da Sweet Blood of Jesus (2014),0.0
4,9,2137,Charlotte's Web (1973),0.0
4,10,139747,Before We Go (2014),0.0
5,1,61262,Mirrors (2008),0.0
5,2,101070,Wadjda (2012),0.0
5,3,2975,"Best Man, The (1999)",0.0
5,4,54286,"Bourne Ultimatum, The (2007)",0.0
5,5,148238,A Very Murray Christmas (2015),0.0
5,6,44022,Ice Age 2: The Meltdown (2006),0.0
5,7,6249,Boat Trip (2003),0.0
5,8,2142,"American Tail: Fievel Goes West, An (1991)",0.0
5,9,26472,"Norte, El (1984)",0.0
5,10,4381,"Closet, The (Placard, Le) (2001)",0.0
6,1,59306,Prom Night (2008),0.0
6,2,4052,Antitrust (2001),0.0
6,3,157,Canadian Bacon (1995),0.0
6,4,2919,"Year of Living Dangerously, The (1982)",0.0
6,5,3435,Double Indemnity (1944),0.0
6,6,2175,Déjà Vu (1997),0.0
6,7,48412,"Guardian, The (2006)",0.0
6,8,102590,Darkon (2006),0.0
6,9,93006,"Very Potter Musical, A (2009)",0.0
6,10,95135,Your Sister's Sister (2011),0.0
7,1,3196,Stalag 17 (1953),0.0
7,2,55020,"Ten, The (2007)",0.0
7,3,26777,"Stolen Children (Ladro di bambini, Il) (1992)",0.0
7,4,421,Black Beauty (1994),0.0
7,5,6291,Lilya 4-Ever (Lilja 4-ever) (2002),0.0
7,6,1885,"Opposite of Sex, The (1998)",0.0
7,7,6872,"House of the Dead, The (2003)",0.0
7,8,7451,Mean Girls (2004),0.0
7,9,1475,Kama Sutra: A Tale of Love (1996),0.0
7,10,51412,Next (2007),0.0
8,1,4641,Ghost World (2001),0.0
8,2,33171,Mysterious Skin (2004),0.0
8,3,4003,She's Having a Baby (1988),0.0
8,4,174141,Belladonna of Sadness (1973),0.0
8,5,3661,Puppet Master II (1991),0.0
8,6,91079,Like Crazy (2011),0.0
8,7,26151,Au Hasard Balthazar (1966),0.0
8,8,6245,Sweet Charity (1969),0.0
8,9,2824,On the Ropes (1999),0.0
8,10,369,Mrs. Parker and the Vicious Circle (1994),0.0
9,1,88125,Harry Potter and the Deathly Hallows: Part 2 (2011),0.0
9,2,6202,Late Marriage (Hatuna Meuheret) (2001),0.0
