userId,rank,movieId,title,score
1,1,100083,Movie 43 (2013),0.23898248830476443
1,2,55442,Persepolis (2007),0.21759787903421937
1,3,2439,Affliction (1997),0.21450043595904003
1,4,89580,Neds (2010),0.2138833145687755
1,5,1382,Marked for Death (1990),0.21261411445242967
1,6,5847,Ragtime (1981),0.2115341147534584
1,7,71899,Mary and Max (2009),0.20421841614203895
1,8,2989,For Your Eyes Only (1981),0.1982194792543438
1,9,178615,Front Cover (2016),0.19745160217088178
1,10,3017,Creepshow 2 (1987),0.19467594393823223
2,1,26152,Batman (1966),0.24131043017055046
2,2,592,Batman (1989),0.24131043017055046
2,3,4020,"Gift, The (2000)",0.22250037983792448
2,4,140247,The Gift (2015),0.22250037983792448
2,5,7438,Kill Bill: Vol. 2 (2004),0.2165875518044004
2,6,166024,Whiplash (2013),0.20913346471791966
2,7,167746,The Lego Batman Movie (2017),0.20586185054922934
2,8,290,Once Were Warriors (1994),0.20132107897826815
2,9,129011,Eddie Izzard: Glorious (1997),0.20132107897826815
2,10,583,Dear Diary (Caro Diario) (1994),0.20132107897826815
3,1,1214,Alien (1979),0.24532772372778708
3,2,44777,Evil Aliens (2005),0.24532772372778708
3,3,33090,Mutant Aliens (2001),0.24532772372778708
3,4,1320,Alien³ (a.k.a. Alien 3) (1992),0.24532772372778708
3,5,6510,"Bodies, Rest & Motion (1993)",0.228908418403285
3,6,90345,"Thing, The (2011)",0.20202680362249928
3,7,5953,Devils on the Doorstep (Guizi lai le) (2000),0.1993327387740463
3,8,49314,Harsh Times (2006),0.1993013831169585
3,9,84246,It Happened on Fifth Avenue (1947),0.19459468785855297
3,10,120813,Patton Oswalt: My Weakness Is Strong (2009),0.1922462067156301
4,1,55442,Persepolis (2007),0.2389329985951495
4,2,100083,Movie 43 (2013),0.23372677317331414
4,3,69849,Roots (1977),0.22785086810996602
4,4,6942,Love Actually (2003),0.219120331683133
4,5,2439,Affliction (1997),0.2158757494186894
4,6,5847,Ragtime (1981),0.21581805950962263
4,7,134252,That Munchhausen (1979),0.21443823194087136
4,8,279,My Family (1995),0.21443299725134296
4,9,25757,"Jazz Singer, The (1927)",0.21285607832050027
4,10,4857,Fiddler on the Roof (1971),0.21267517374130496
5,1,26152,Batman (1966),0.23783957548305848
5,2,33794,Batman Begins (2005),0.21687441110394287
5,3,8795,Musa the Warrior (Musa) (2001),0.1985550858956876
5,4,583,Dear Diary (Caro Diario) (1994),0.1985550858956876
5,5,129011,Eddie Izzard: Glorious (1997),0.1985550858956876
5,6,139644,Sicario (2015),0.1985550858956876
5,7,26471,Eddie Murphy Delirious (1983),0.1985550858956876
5,8,7879,Notorious C.H.O. (2002),0.1985550858956876
5,9,83374,"Warrior's Way, The (2010)",0.1985550858956876
5,10,86345,Louis C.K.: Hilarious (2010),0.1985550858956876
6,1,100083,Movie 43 (2013),0.26157480517248566
6,2,55442,Persepolis (2007),0.2520264627430273
6,3,6942,Love Actually (2003),0.2461717785481626
6,4,152173,Michael Jackson's Thriller (1983),0.23697955909188195
6,5,149350,Lumberjack Man (2015),0.23697955909188195
6,6,48322,Jackass Number Two (2006),0.23697955909188195
6,7,181065,Jack Whitehall: At Large (2017),0.23697955909188195
6,8,80139,Jackass 2.5 (2007),0.23697955909188195
6,9,5847,Ragtime (1981),0.234616000201986
6,10,69849,Roots (1977),0.23107111206593142
7,1,26492,Twilight Zone: The Movie (1983),0.22006046646602476
7,2,4994,"Majestic, The (2001)",0.21956626173228327
7,3,6942,Love Actually (2003),0.2165135758276927
7,4,5847,Ragtime (1981),0.21462141073139812
7,5,122926,Untitled Spider-Man Reboot (2017),0.21384944990407967
7,6,163925,"Wings, Legs and Tails (1986)",0.21113992680402507
7,7,72714,Earthlings (2006),0.21113992680402507
7,8,7349,Broken Wings (Knafayim Shvurot) (2002),0.21113992680402507
7,9,1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",0.21113992680402507
7,10,1831,Lost in Space (1998),0.20828182339657808
8,1,118880,"Girl Walks Home Alone at Night, A (2014)",0.23884658794658634
8,2,26152,Batman (1966),0.22403780207356297
8,3,6942,Love Actually (2003),0.20974760932433728
8,4,95624,"Firm, The (2009)",0.20875520614099824
8,5,1701,Deconstructing Harry (1997),0.19444179484431068
8,6,27741,"Twilight Samurai, The (Tasogare Seibei) (2002)",0.1901305704441606
8,7,26492,Twilight Zone: The Movie (1983),0.1901305704441606
8,8,183197,Dave Chappelle: Equanimity (2017),0.18949965307173405
8,9,170357,Dave Chappelle: The Age of Spin (2017),0.18949965307173405
8,10,7215,To Have and Have Not (1944),0.1878829955419211
9,1,102666,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),0.33587217606897807
9,2,97306,Seven Psychopaths (2012),0.25179620173510775
9,3,2116,"Lord of the Rings, The (1978)",0.2387719556833361
9,4,7153,"Lord of the Rings: The Return of the King, The (2003)",0.2350928956546291
9,5,1946,Marty (1955),0.2223201895486135
9,6,1648,"House of Yes, The (1997)",0.21397254331031407
