movieId,movie_title,movie_year,plot_index,plot_title,plot_year,match_method,match_score,status,timestamp
1,Toy Story (1995),1995.0,12579.0,Toy Story,,exact_title,100.0,matched,2026-05-06T06:17:19.165147
2,Jumanji (1995),1995.0,12477.0,Jumanji,,exact_title,100.0,matched,2026-05-06T06:17:19.165461
3,Grumpier Old Men (1995),1995.0,12447.0,Grumpier Old Men,,exact_title,100.0,matched,2026-05-06T06:17:19.165519
4,Waiting to Exhale (1995),1995.0,12588.0,Waiting to Exhale,,exact_title,100.0,matched,2026-05-06T06:17:19.165567
5,Father of the Bride Part II (1995),1995.0,12429.0,Father of the Bride Part II,,exact_title,100.0,matched,2026-05-06T06:17:19.165612
6,Heat (1995),1995.0,34116.0,Heat,,exact_title,100.0,matched,2026-05-06T06:17:19.165658
7,Sabrina (1995),1995.0,12546.0,Sabrina,,exact_title,100.0,matched,2026-05-06T06:17:19.165700
8,Tom and Huck (1995),1995.0,12576.0,Tom and Huck,,exact_title,100.0,matched,2026-05-06T06:17:19.165742
9,Sudden Death (1995),1995.0,12565.0,Sudden Death,,exact_title,100.0,matched,2026-05-06T06:17:19.165789
10,GoldenEye (1995),1995.0,20612.0,GoldenEye,,exact_title,100.0,matched,2026-05-06T06:17:19.165834
11,"American President, The (1995)",1995.0,12357.0,The American President,,fuzzy_auto,95.0,matched,2026-05-06T06:17:19.165883
12,Dracula: Dead and Loving It (1995),1995.0,12420.0,Dracula: Dead and Loving It,,exact_title,100.0,matched,2026-05-06T06:17:19.165921
13,Balto (1995),1995.0,12368.0,Balto,,exact_title,100.0,matched,2026-05-06T06:17:19.165966
14,Nixon (1995),1995.0,12519.0,Nixon,,exact_title,100.0,matched,2026-05-06T06:17:19.166010
15,Cutthroat Island (1995),1995.0,12406.0,Cutthroat Island,,exact_title,100.0,matched,2026-05-06T06:17:19.166047
16,Casino (1995),1995.0,12391.0,Casino,,exact_title,100.0,matched,2026-05-06T06:17:19.166084
17,Sense and Sensibility (1995),1995.0,12551.0,Sense and Sensibility,,exact_title,100.0,matched,2026-05-06T06:17:19.166120
18,Four Rooms (1995),1995.0,12434.0,Four Rooms,,exact_title,100.0,matched,2026-05-06T06:17:19.166168
19,Ace Ventura: When Nature Calls (1995),1995.0,12353.0,Ace Ventura: When Nature Calls,,exact_title,100.0,matched,2026-05-06T06:17:19.166207
20,Money Train (1995),1995.0,12504.0,Money Train,,exact_title,100.0,matched,2026-05-06T06:17:19.166250
21,Get Shorty (1995),1995.0,12441.0,Get Shorty,,exact_title,100.0,matched,2026-05-06T06:17:19.166288
22,Copycat (1995),1995.0,12401.0,Copycat,,exact_title,100.0,matched,2026-05-06T06:17:19.166330
23,Assassins (1995),1995.0,12362.0,Assassins,,exact_title,100.0,matched,2026-05-06T06:17:19.166366
24,Powder (1995),1995.0,12536.0,Powder,,exact_title,100.0,matched,2026-05-06T06:17:19.166405
25,Leaving Las Vegas (1995),1995.0,12486.0,Leaving Las Vegas,,exact_title,100.0,matched,2026-05-06T06:17:19.166444
26,Othello (1995),1995.0,12523.0,Othello,,exact_title,100.0,matched,2026-05-06T06:17:19.166480
27,Now and Then (1995),1995.0,12521.0,Now and Then,,exact_title,100.0,matched,2026-05-06T06:17:19.166522
28,Persuasion (1995),1995.0,12532.0,Persuasion,,exact_title,100.0,matched,2026-05-06T06:17:19.166566
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,34492.0,Children,,fuzzy_auto,90.0,matched,2026-05-06T06:17:19.166604
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,22455.0,Shanghai Triad,,fuzzy_auto,90.0,matched,2026-05-06T06:17:19.166651
31,Dangerous Minds (1995),1995.0,12408.0,Dangerous Minds,,exact_title,100.0,matched,2026-05-06T06:17:19.166692
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,12580.0,Twelve Monkeys,,fuzzy_auto,90.0,matched,2026-05-06T06:17:19.166729
